Edad,Genero,Nivel.educativo,Producto,Precio.unidad,Cantidad,Descuento,Total.pagar,Gasto.promedio,Frecuencia.compra,Rating,Tiempo.web,Influencer,Pago,Compra
22,Masculino,Secundaria,Apple AirPods Pro,88.69,2,39,108.2,1858.47,194,4.6,22.51,Si,Transferencia,Si
59,Femenino,Secundaria,Nintendo Switch,141.98,21,16,2504.53,2840.5,94,2.7,12.38,No,Transferencia,No
23,Masculino,Universitaria,Nintendo Switch,82.06,5,16,344.65,626.18,140,3.7,9.41,Si,Tarjeta de crédito,Si
41,Masculino,Secundaria,Nintendo Switch,63.8,2,41,75.28,873.83,23,3.7,26.35,No,Transferencia,Si
40,Femenino,Primaria,Nintendo Switch,98.72,10,16,829.25,1069.05,4,2.7,13,No,Tarjeta de crédito,No
25,Masculino,Primaria,Galaxy S23,74.51,10,13,648.24,3153.41,2,0.9,14.31,No,Transferencia,No
67,Femenino,Primaria,Apple AirPods Pro,133.98,6,31,554.68,345.73,126,2.8,22.87,No,PayPal,Si
49,Femenino,Universitaria,Kindle Paperwhite,125.45,8,8,923.31,971.02,209,3.7,14.36,Si,PayPal,Si
45,Masculino,Universitaria,Apple AirPods Pro,43.46,20,39,530.21,4436.81,100,5.5,14.58,Si,PayPal,Si
35,Masculino,Primaria,Echo Dot (4th Gen),75.98,22,1,1654.84,2010.03,55,1.9,4.07,Si,PayPal,Si
24,Masculino,Primaria,Apple AirPods Pro,113.11,12,38,841.54,2055.46,1,1.8,21.78,Si,Tarjeta de crédito,No
35,Femenino,Primaria,Echo Dot (4th Gen),118.43,3,25,266.47,2250.22,37,0.9,5.51,Si,Transferencia,No
65,Femenino,Secundaria,Apple AirPods Pro,143.29,16,43,1306.8,1466.84,53,0.9,21.48,No,PayPal,No
67,Masculino,Universitaria,Kindle Paperwhite,83.28,23,11,1704.74,903.23,65,3.7,6.14,No,Tarjeta de crédito,Si
19,Masculino,Universitaria,Echo Dot (4th Gen),99,24,30,1663.2,799.19,5,4.6,13.07,Si,PayPal,Si
51,Masculino,Secundaria,Kindle Paperwhite,64,12,8,706.56,370.61,50,1.9,25.08,No,Transferencia,Si
25,Femenino,Universitaria,Fire TV Stick 4K,71.54,7,10,450.7,1110.92,145,5.5,21.26,No,PayPal,Si
30,Masculino,Primaria,Galaxy S23,144.66,7,1,1002.49,961.47,69,1.8,23.08,No,Tarjeta de crédito,No
63,Femenino,Universitaria,Nintendo Switch,88.7,20,11,1578.86,341.59,270,2.8,8.67,No,PayPal,Si
64,Masculino,Universitaria,Nintendo Switch,44.93,4,45,98.85,1366.32,14,2.7,6.07,No,Transferencia,No
31,Masculino,Universitaria,Echo Dot (4th Gen),95.47,3,1,283.55,1548.7,44,4.5,11.32,Si,PayPal,No
55,Masculino,Primaria,Fire TV Stick 4K,67.87,9,9,555.86,2372.72,89,5.5,13.74,Si,PayPal,Si
48,Femenino,Primaria,Fire TV Stick 4K,44.82,4,43,102.19,1518.1,126,4.6,5.47,Si,PayPal,Si
26,Femenino,Secundaria,Fire TV Stick 4K,60.84,5,21,240.32,1597.58,170,3.7,16.3,Si,PayPal,Si
24,Femenino,Secundaria,Nintendo Switch,41.77,16,47,354.21,270.27,129,1.9,26.54,No,PayPal,Si
52,Masculino,Secundaria,Echo Dot (4th Gen),97.58,2,47,103.43,3252.07,50,2.7,19.19,No,PayPal,No
61,Femenino,Universitaria,Fire TV Stick 4K,103.91,5,39,316.93,524.84,8,3.7,5,Si,PayPal,Si
59,Masculino,Primaria,Fire TV Stick 4K,50.03,10,20,400.24,228.81,47,4.5,10.99,No,Transferencia,No
49,Femenino,Primaria,Galaxy S23,77.52,13,8,927.14,2570.79,210,0.9,14.07,No,Tarjeta de crédito,No
56,Femenino,Secundaria,Echo Dot (4th Gen),63.99,11,27,513.84,595.94,20,1.9,8.03,No,Transferencia,Si
25,Masculino,Universitaria,Echo Dot (4th Gen),74.65,5,35,242.61,1497.62,233,4.6,20.27,Si,Tarjeta de crédito,Si
29,Femenino,Primaria,Echo Dot (4th Gen),118.94,20,38,1474.86,758.78,52,2.8,16.19,No,Transferencia,Si
63,Masculino,Secundaria,Apple AirPods Pro,47.37,7,39,202.27,1864.15,164,5.5,26.77,No,Tarjeta de crédito,Si
69,Masculino,Universitaria,Apple AirPods Pro,141.59,10,13,1231.83,2069.76,206,2.8,19.9,Si,PayPal,Si
18,Femenino,Primaria,Apple AirPods Pro,146.68,3,3,426.84,507.14,39,5.5,2.28,No,PayPal,Si
70,Femenino,Primaria,Fire TV Stick 4K,101.12,16,17,1342.87,1033.52,42,3.6,10.62,Si,Tarjeta de crédito,No
68,Femenino,Secundaria,Galaxy S23,62.48,7,39,266.79,1350.36,66,5.5,7.61,No,PayPal,Si
49,Masculino,Secundaria,Nintendo Switch,148.48,5,31,512.26,1075.57,19,4.6,22.06,No,PayPal,Si
24,Femenino,Universitaria,Apple AirPods Pro,65.41,1,10,58.87,1504.26,341,2.7,22.61,Si,Tarjeta de crédito,No
32,Masculino,Primaria,Kindle Paperwhite,117.46,8,23,723.55,2918.87,66,3.6,13.8,Si,PayPal,No
40,Masculino,Universitaria,Fire TV Stick 4K,138.5,7,47,513.84,2600.69,24,4.5,14.32,Si,Tarjeta de crédito,No
22,Femenino,Primaria,Fire TV Stick 4K,123.66,13,38,996.7,1404.66,31,4.5,12.01,No,PayPal,No
18,Femenino,Universitaria,Kindle Paperwhite,126.77,10,46,684.56,307,187,0.9,21.58,No,Tarjeta de crédito,No
70,Femenino,Primaria,Apple AirPods Pro,81.28,23,37,1177.75,2308.16,34,2.7,24.05,No,Tarjeta de crédito,No
21,Femenino,Secundaria,Fire TV Stick 4K,118.35,2,40,142.02,2465.85,16,4.6,19.28,Si,Transferencia,Si
19,Masculino,Secundaria,Galaxy S23,145.47,17,14,2126.77,555.72,32,0.9,19.3,No,PayPal,No
33,Femenino,Universitaria,Apple AirPods Pro,111.81,22,35,1598.88,1673.85,47,1.8,10.78,No,PayPal,No
49,Masculino,Primaria,Kindle Paperwhite,102.69,23,39,1440.74,740.22,225,3.7,17.81,No,Transferencia,Si
44,Masculino,Primaria,Echo Dot (4th Gen),93.34,5,37,294.02,1120.87,29,1.8,24.74,Si,Transferencia,No
22,Femenino,Secundaria,Apple AirPods Pro,141.17,4,31,389.63,385.26,110,1.8,4.8,No,Tarjeta de crédito,No
22,Femenino,Primaria,Galaxy S23,92.56,24,15,1888.22,1168.46,271,3.6,9.24,Si,Tarjeta de crédito,No
58,Masculino,Universitaria,Apple AirPods Pro,90.89,3,30,190.87,35.47,115,3.7,22.31,No,Tarjeta de crédito,Si
45,Masculino,Secundaria,Nintendo Switch,117.95,10,11,1049.76,1753.14,271,5.5,11.27,Si,Tarjeta de crédito,Si
49,Femenino,Secundaria,Galaxy S23,134.17,14,5,1784.46,2429.67,25,2.7,8.69,No,Tarjeta de crédito,No
43,Femenino,Primaria,Kindle Paperwhite,64.63,12,34,511.87,2891.09,109,1.8,17,No,PayPal,No
33,Femenino,Secundaria,Galaxy S23,146.12,7,34,675.07,866.38,9,4.5,8.33,Si,Tarjeta de crédito,No
49,Masculino,Primaria,Nintendo Switch,138.04,11,7,1412.15,1805.85,54,4.5,7.29,No,Tarjeta de crédito,No
23,Masculino,Primaria,Apple AirPods Pro,91.21,23,6,1971.96,713.53,66,4.5,7.12,No,Transferencia,No
37,Femenino,Secundaria,Fire TV Stick 4K,121.78,12,45,803.75,1052.2,75,1.9,8.38,Si,Tarjeta de crédito,Si
21,Femenino,Universitaria,Galaxy S23,128.5,1,43,73.24,214.16,287,1.9,6.25,No,Transferencia,Si
20,Femenino,Universitaria,Echo Dot (4th Gen),93.88,9,28,608.34,1882.28,150,2.8,27.9,Si,Tarjeta de crédito,Si
39,Masculino,Universitaria,Nintendo Switch,106.43,11,2,1147.32,79.13,29,1.8,23,Si,Transferencia,No
43,Femenino,Secundaria,Apple AirPods Pro,141.26,6,11,754.33,4138.62,142,2.7,9.14,No,Tarjeta de crédito,No
48,Femenino,Primaria,Kindle Paperwhite,76.79,21,3,1564.21,3697.01,248,3.6,24.22,Si,Tarjeta de crédito,No
70,Masculino,Universitaria,Galaxy S23,119.91,3,22,280.59,544.18,31,0.9,9.73,No,Transferencia,No
25,Masculino,Primaria,Galaxy S23,67.44,17,49,584.7,307.18,120,2.7,2.49,No,Transferencia,No
63,Masculino,Secundaria,Fire TV Stick 4K,53.05,2,3,102.92,743.78,130,4.5,26.21,No,Transferencia,No
22,Femenino,Secundaria,Apple AirPods Pro,99.75,8,47,422.94,1908.38,146,2.8,10.16,No,Tarjeta de crédito,Si
33,Masculino,Secundaria,Kindle Paperwhite,134.53,20,32,1829.61,352.47,1,1.9,8.38,No,PayPal,Si
30,Masculino,Universitaria,Nintendo Switch,142.8,1,42,82.82,2663.14,5,1.8,5.92,No,Transferencia,No
47,Femenino,Secundaria,Echo Dot (4th Gen),41.49,11,24,346.86,892.96,150,2.8,13.97,Si,Tarjeta de crédito,Si
29,Masculino,Secundaria,Apple AirPods Pro,146.83,23,37,2127.57,3351.47,69,1.8,5.51,Si,Tarjeta de crédito,No
45,Masculino,Secundaria,Fire TV Stick 4K,96.66,6,10,521.96,1281.94,29,1.8,2.68,No,Transferencia,No
40,Masculino,Secundaria,Nintendo Switch,94.27,8,29,535.45,87.37,17,4.6,21.46,Si,Tarjeta de crédito,Si
55,Femenino,Universitaria,Galaxy S23,97.91,9,47,467.03,916.83,5,5.5,24.2,No,PayPal,Si
56,Masculino,Secundaria,Fire TV Stick 4K,56.1,21,25,883.58,553.05,47,1.9,8.44,Si,Tarjeta de crédito,Si
51,Masculino,Primaria,Echo Dot (4th Gen),63.97,4,23,197.03,619.17,68,0.9,24.14,Si,Tarjeta de crédito,No
24,Femenino,Secundaria,Apple AirPods Pro,72.65,13,35,613.89,1298.31,45,1.8,7.27,Si,Tarjeta de crédito,No
19,Femenino,Primaria,Nintendo Switch,67.33,19,12,1125.76,51.37,41,2.8,23.02,Si,Transferencia,Si
66,Femenino,Primaria,Apple AirPods Pro,138.08,2,33,185.03,1460.17,220,2.8,11.01,No,Transferencia,Si
53,Masculino,Primaria,Galaxy S23,119.94,1,25,89.96,978.86,169,1.8,12.04,Si,Tarjeta de crédito,No
57,Femenino,Primaria,Echo Dot (4th Gen),55.25,13,27,524.32,1864.65,58,4.5,18.79,Si,Tarjeta de crédito,No
24,Masculino,Secundaria,Apple AirPods Pro,65.4,24,8,1444.03,3287.72,23,3.6,8.22,Si,PayPal,No
65,Femenino,Primaria,Galaxy S23,99.79,14,44,782.35,1537.4,23,1.8,19.75,Si,PayPal,No
54,Masculino,Primaria,Fire TV Stick 4K,78.82,22,1,1716.7,2701.48,76,0.9,23.8,No,PayPal,No
48,Masculino,Primaria,Galaxy S23,72,3,42,125.28,2259.01,165,4.6,2.23,Si,Tarjeta de crédito,Si
41,Masculino,Primaria,Kindle Paperwhite,134.22,2,37,169.12,1107.18,2,2.7,20.97,Si,Tarjeta de crédito,No
43,Masculino,Universitaria,Apple AirPods Pro,149.71,19,2,2787.6,4894.33,18,4.5,6.68,Si,PayPal,No
37,Masculino,Universitaria,Kindle Paperwhite,130.19,9,9,1066.26,2031.96,150,2.7,22.29,Si,Transferencia,No
56,Masculino,Secundaria,Nintendo Switch,60.95,2,12,107.27,980.49,20,2.7,5.09,No,Transferencia,No
42,Femenino,Secundaria,Galaxy S23,46.15,8,37,232.6,1898.8,77,2.8,6.23,No,Transferencia,Si
43,Femenino,Primaria,Nintendo Switch,146.11,24,40,2103.98,249.96,146,1.9,1.7,No,Tarjeta de crédito,Si
49,Masculino,Secundaria,Fire TV Stick 4K,112.02,3,17,278.93,580.24,27,2.8,3.39,Si,PayPal,Si
43,Femenino,Universitaria,Fire TV Stick 4K,94.32,8,30,528.19,639.99,13,3.6,8.4,No,Tarjeta de crédito,No
28,Masculino,Universitaria,Kindle Paperwhite,75.06,3,33,150.87,74.73,268,3.7,22.92,Si,PayPal,Si
58,Masculino,Secundaria,Kindle Paperwhite,93.38,5,4,448.22,1701.44,73,2.7,24.94,Si,PayPal,No
62,Femenino,Universitaria,Nintendo Switch,140.42,16,38,1392.97,964.82,164,4.5,7.51,Si,Tarjeta de crédito,No
25,Masculino,Secundaria,Apple AirPods Pro,144.93,8,43,660.88,1166.31,73,2.8,14.16,Si,Tarjeta de crédito,Si
28,Masculino,Secundaria,Apple AirPods Pro,138.57,2,2,271.6,2682.71,154,2.7,12.54,No,PayPal,No
36,Masculino,Universitaria,Kindle Paperwhite,84.39,23,0,1940.97,880.69,15,5.5,20.68,Si,Transferencia,Si
31,Femenino,Primaria,Echo Dot (4th Gen),104.16,24,24,1899.88,1323.31,94,2.7,15.17,No,Tarjeta de crédito,No
66,Femenino,Primaria,Galaxy S23,98.99,22,1,2156,1744.66,133,4.6,6.05,Si,Tarjeta de crédito,Si
70,Femenino,Primaria,Echo Dot (4th Gen),114.36,4,23,352.23,655.07,87,4.6,1.46,Si,Tarjeta de crédito,Si
51,Masculino,Primaria,Kindle Paperwhite,145.02,9,39,796.16,1658.19,166,1.9,27.53,Si,PayPal,Si
46,Masculino,Secundaria,Apple AirPods Pro,66.51,9,39,365.14,557,165,2.8,13.57,No,PayPal,Si
65,Masculino,Secundaria,Nintendo Switch,82.98,13,12,949.29,278.12,12,3.7,5.01,No,PayPal,Si
27,Femenino,Universitaria,Kindle Paperwhite,130.66,17,21,1754.76,271.2,183,3.6,12.45,Si,Transferencia,No
61,Femenino,Secundaria,Nintendo Switch,131.93,11,12,1277.08,1380.47,130,5.5,5.42,No,PayPal,Si
43,Masculino,Secundaria,Nintendo Switch,72.7,9,29,464.55,925.08,186,2.8,23.55,No,Transferencia,Si
70,Masculino,Universitaria,Echo Dot (4th Gen),111.33,10,5,1057.63,452.8,69,5.5,24.93,No,PayPal,Si
68,Masculino,Primaria,Galaxy S23,141.4,20,23,2177.56,1963.55,115,5.5,14.03,No,Transferencia,Si
55,Masculino,Primaria,Apple AirPods Pro,59,4,38,146.32,1817.48,80,3.6,18.27,No,PayPal,No
44,Femenino,Secundaria,Apple AirPods Pro,118.08,10,48,614.02,108.3,51,3.6,5.13,Si,Transferencia,No
34,Femenino,Secundaria,Galaxy S23,135.33,8,5,1028.51,52.54,60,0.9,10.3,No,Tarjeta de crédito,No
45,Femenino,Secundaria,Nintendo Switch,129.31,21,3,2634.04,3.72,92,4.6,24.86,No,Tarjeta de crédito,Si
48,Femenino,Primaria,Galaxy S23,63.01,22,50,693.11,37.44,59,2.7,13.91,Si,Tarjeta de crédito,No
50,Femenino,Universitaria,Echo Dot (4th Gen),43.24,6,24,197.17,267.73,221,1.9,7.58,Si,Tarjeta de crédito,Si
60,Femenino,Primaria,Echo Dot (4th Gen),141.31,13,49,936.89,784.27,47,5.5,10.55,No,Transferencia,Si
51,Femenino,Universitaria,Nintendo Switch,124.85,2,20,199.76,2512.15,112,2.7,21.75,No,Tarjeta de crédito,No
31,Masculino,Primaria,Echo Dot (4th Gen),100.14,20,37,1261.76,2605.66,62,1.9,11.54,No,Transferencia,Si
55,Masculino,Secundaria,Echo Dot (4th Gen),90.7,2,46,97.96,268.01,4,3.6,24.91,No,Tarjeta de crédito,No
68,Femenino,Primaria,Kindle Paperwhite,64.14,9,47,305.95,2088.54,42,1.8,17.27,Si,Transferencia,No
50,Femenino,Secundaria,Nintendo Switch,106.74,6,49,326.62,2968.93,111,2.7,17.51,No,Transferencia,No
59,Masculino,Universitaria,Nintendo Switch,82.21,13,5,1015.29,316.7,209,2.7,13.86,No,PayPal,No
49,Femenino,Secundaria,Nintendo Switch,68.72,9,26,457.68,1162.1,3,3.7,26.37,No,Tarjeta de crédito,Si
46,Femenino,Universitaria,Echo Dot (4th Gen),143.36,15,29,1526.78,1407.96,93,2.8,3.02,Si,Transferencia,Si
66,Masculino,Primaria,Apple AirPods Pro,44.34,10,14,381.32,1730.52,202,1.8,26.07,Si,PayPal,No
37,Femenino,Universitaria,Kindle Paperwhite,109.11,7,1,756.13,832.82,63,3.6,11.18,Si,Tarjeta de crédito,No
21,Femenino,Secundaria,Kindle Paperwhite,74.17,17,46,680.88,1895.5,194,4.5,12.4,Si,Tarjeta de crédito,No
48,Femenino,Secundaria,Fire TV Stick 4K,115.15,16,16,1547.62,1610.98,170,1.8,6.59,No,Transferencia,No
56,Masculino,Universitaria,Kindle Paperwhite,50.49,18,43,518.03,1666.53,284,5.5,14.44,No,PayPal,Si
25,Femenino,Primaria,Fire TV Stick 4K,42.57,2,50,42.57,1745.09,49,5.5,9.56,No,Transferencia,Si
35,Masculino,Primaria,Echo Dot (4th Gen),75.79,4,25,227.37,2787.06,46,1.8,25.48,No,Tarjeta de crédito,No
36,Masculino,Universitaria,Fire TV Stick 4K,96.93,12,20,930.53,1757.71,173,0.9,7.03,Si,Tarjeta de crédito,No
33,Femenino,Secundaria,Nintendo Switch,99.88,7,10,629.24,621.27,159,3.6,12.02,No,Tarjeta de crédito,No
24,Masculino,Universitaria,Echo Dot (4th Gen),68.42,23,42,912.72,1087.11,195,4.6,25.97,Si,Tarjeta de crédito,Si
22,Masculino,Secundaria,Galaxy S23,131.23,15,18,1614.13,3574.93,21,2.7,26.02,No,Tarjeta de crédito,No
22,Femenino,Secundaria,Echo Dot (4th Gen),44.18,9,42,230.62,993.45,36,4.5,20.56,No,Tarjeta de crédito,No
39,Masculino,Primaria,Apple AirPods Pro,106.47,3,24,242.75,860.89,24,4.5,24.22,No,Transferencia,No
69,Femenino,Universitaria,Apple AirPods Pro,100.46,24,16,2025.27,1645.37,9,3.7,27.33,Si,Transferencia,Si
66,Femenino,Universitaria,Nintendo Switch,48.92,16,43,446.15,2033.56,1,4.6,10.45,No,Transferencia,Si
52,Femenino,Primaria,Galaxy S23,46.38,1,14,39.89,2273.41,92,0.9,1.31,Si,Transferencia,No
31,Femenino,Universitaria,Galaxy S23,131.66,14,27,1345.57,331.73,38,4.6,26.05,Si,PayPal,Si
38,Masculino,Universitaria,Fire TV Stick 4K,76,16,25,912,1914.93,19,5.5,12.98,No,Tarjeta de crédito,Si
19,Femenino,Primaria,Echo Dot (4th Gen),60.95,11,24,509.54,1529.07,57,1.8,6.76,Si,PayPal,No
23,Femenino,Primaria,Kindle Paperwhite,131.88,10,15,1120.98,121.48,27,3.6,16.43,No,Tarjeta de crédito,No
31,Masculino,Universitaria,Fire TV Stick 4K,120.56,24,1,2864.51,732.22,174,2.7,26.71,No,Tarjeta de crédito,No
23,Femenino,Primaria,Apple AirPods Pro,40.98,9,38,228.67,2657.76,122,2.7,0.72,Si,Tarjeta de crédito,No
47,Masculino,Universitaria,Galaxy S23,99.63,11,44,613.72,2080.98,56,4.6,27.87,No,Transferencia,Si
65,Masculino,Universitaria,Galaxy S23,94.89,13,46,666.13,2967.21,281,1.8,9.19,Si,PayPal,No
54,Femenino,Secundaria,Kindle Paperwhite,68.57,23,37,993.58,552.78,58,1.9,21.38,No,Transferencia,Si
70,Masculino,Universitaria,Echo Dot (4th Gen),41.54,15,49,317.78,2191.71,2,4.6,16.24,No,Tarjeta de crédito,Si
19,Femenino,Secundaria,Echo Dot (4th Gen),86.18,19,15,1391.81,113.74,194,4.6,17.45,No,Tarjeta de crédito,Si
37,Femenino,Primaria,Kindle Paperwhite,88.89,14,45,684.45,1762.73,134,2.8,13.1,Si,Transferencia,Si
66,Femenino,Universitaria,Kindle Paperwhite,128.71,10,42,746.52,633.69,20,5.5,8.55,Si,Tarjeta de crédito,Si
21,Femenino,Universitaria,Nintendo Switch,114.78,4,25,344.34,1342.97,181,1.8,14.7,Si,PayPal,No
31,Masculino,Secundaria,Nintendo Switch,126.2,7,5,839.23,2747.29,169,2.8,2.73,Si,Tarjeta de crédito,Si
33,Masculino,Universitaria,Apple AirPods Pro,71.88,20,8,1322.59,159.28,20,1.8,9.88,Si,Transferencia,No
53,Femenino,Primaria,Kindle Paperwhite,48.44,9,22,340.05,1456.09,43,4.5,2.95,No,Transferencia,No
25,Femenino,Secundaria,Echo Dot (4th Gen),85.53,4,39,208.69,250.73,22,0.9,25.4,No,Tarjeta de crédito,No
45,Femenino,Primaria,Echo Dot (4th Gen),84.33,9,28,546.46,884.63,59,5.5,3.14,No,PayPal,Si
63,Masculino,Universitaria,Nintendo Switch,99.53,14,16,1170.47,869.35,42,0.9,13.81,Si,Transferencia,No
34,Femenino,Universitaria,Fire TV Stick 4K,127.68,2,34,168.54,795.84,264,3.7,19.8,Si,PayPal,Si
53,Femenino,Universitaria,Echo Dot (4th Gen),52.36,16,28,603.19,3242.7,63,2.8,3.38,Si,PayPal,Si
47,Femenino,Secundaria,Kindle Paperwhite,147.32,21,40,1856.23,117.26,26,1.8,3.72,Si,Transferencia,No
37,Masculino,Primaria,Kindle Paperwhite,43.45,20,-120,729.96,810.3,182,5.5,10.14,Si,Transferencia,Si
44,Masculino,Primaria,Nintendo Switch,106.65,13,11,1233.94,1747.38,25,4.6,20.16,Si,Tarjeta de crédito,Si
36,Femenino,Universitaria,Apple AirPods Pro,124.38,5,1,615.68,4955.2,44,1.9,21.52,Si,Transferencia,Si
22,Masculino,Universitaria,Galaxy S23,126.16,14,21,1395.33,2161.73,45,1.9,10.8,Si,PayPal,Si
62,Masculino,Primaria,Galaxy S23,74.62,20,13,1298.39,2776.54,147,2.8,14.06,Si,Transferencia,Si
29,Masculino,Universitaria,Galaxy S23,130.9,18,31,1625.78,1389.96,45,2.8,15.18,Si,Tarjeta de crédito,Si
23,Femenino,Secundaria,Fire TV Stick 4K,146.83,21,22,2405.08,1018.74,26,2.8,15.52,Si,Transferencia,Si
54,Femenino,Universitaria,Apple AirPods Pro,69.49,2,41,82,2681.51,48,2.7,13.3,No,Transferencia,No
49,Masculino,Secundaria,Nintendo Switch,108.23,8,36,554.14,1224.41,163,5.5,2.5,Si,PayPal,Si
36,Masculino,Primaria,Echo Dot (4th Gen),76.29,23,46,947.52,552.76,0,3.6,19.68,No,Tarjeta de crédito,No
55,Femenino,Secundaria,Apple AirPods Pro,144.67,16,23,1782.33,203.79,157,0.9,10.36,Si,Tarjeta de crédito,No
52,Femenino,Primaria,Fire TV Stick 4K,99.07,11,17,904.51,2197.37,49,2.7,15.8,No,PayPal,No
19,Femenino,Secundaria,Galaxy S23,53.79,22,7,1100.54,4294.1,69,1.9,7.52,Si,Transferencia,Si
60,Femenino,Secundaria,Apple AirPods Pro,85.63,10,30,599.41,68.82,33,1.8,21.81,No,Tarjeta de crédito,No
51,Femenino,Primaria,Kindle Paperwhite,102.06,14,16,1200.23,90.38,66,2.8,5.92,No,Tarjeta de crédito,Si
65,Masculino,Primaria,Echo Dot (4th Gen),148.91,17,37,1594.83,102.37,48,1.9,9.88,No,Tarjeta de crédito,Si
52,Femenino,Universitaria,Nintendo Switch,131.93,4,31,364.13,2103.61,275,2.7,3.65,No,PayPal,No
62,Femenino,Universitaria,Kindle Paperwhite,107.12,1,30,74.98,1416.08,113,1.9,19.08,Si,Transferencia,Si
19,Femenino,Secundaria,Echo Dot (4th Gen),84.71,5,26,313.43,372.72,199,4.6,2.91,Si,Transferencia,Si
25,Masculino,Primaria,Apple AirPods Pro,41.45,3,10,111.92,2593.29,98,4.6,22.85,Si,Transferencia,Si
28,Femenino,Universitaria,Echo Dot (4th Gen),98.83,21,21,1639.59,419.7,209,2.7,26.08,Si,Tarjeta de crédito,No
41,Femenino,Secundaria,Galaxy S23,125.69,21,41,1557.3,1326.49,193,4.5,1.37,No,PayPal,No
25,Masculino,Universitaria,Kindle Paperwhite,117.27,11,32,877.18,781.23,61,3.7,11.33,No,Transferencia,Si
50,Masculino,Universitaria,Fire TV Stick 4K,128.01,11,1,1394.03,410.35,61,3.7,15.01,Si,Tarjeta de crédito,Si
55,Femenino,Secundaria,Nintendo Switch,91.31,17,17,1288.38,1191.12,188,0.9,8.78,Si,PayPal,No
57,Masculino,Universitaria,Nintendo Switch,119.54,5,29,424.37,262.4,153,4.5,7.31,Si,PayPal,No
42,Masculino,Secundaria,Apple AirPods Pro,145.09,19,36,1764.29,1751.06,188,3.6,1.66,Si,PayPal,No
54,Masculino,Universitaria,Echo Dot (4th Gen),71.49,18,38,797.83,4465.08,173,3.6,20.81,No,Tarjeta de crédito,No
44,Masculino,Secundaria,Galaxy S23,41.54,3,39,76.02,125.88,327,3.6,16.21,No,Tarjeta de crédito,No
37,Femenino,Primaria,Apple AirPods Pro,50.04,2,7,93.07,366.82,104,3.6,3.06,Si,Transferencia,No
30,Masculino,Primaria,Kindle Paperwhite,119.74,21,18,2061.92,1231.15,41,1.9,15.03,No,Tarjeta de crédito,Si
29,Masculino,Universitaria,Echo Dot (4th Gen),54.01,11,20,475.29,440.48,119,2.8,2.5,No,Transferencia,Si
51,Masculino,Secundaria,Nintendo Switch,42.4,3,16,106.85,1716.09,4,3.6,14.04,Si,Tarjeta de crédito,No
55,Femenino,Primaria,Apple AirPods Pro,78.64,9,4,679.45,181.23,227,1.8,12.31,No,PayPal,No
22,Masculino,Secundaria,Nintendo Switch,127.33,22,21,2213,500.13,99,4.6,12.64,No,Tarjeta de crédito,Si
67,Femenino,Secundaria,Nintendo Switch,73.11,3,28,157.92,638.77,76,1.9,4.46,No,Transferencia,Si
41,Femenino,Primaria,Kindle Paperwhite,68.96,3,16,173.78,3281.53,7,2.8,8.28,No,PayPal,Si
62,Femenino,Primaria,Apple AirPods Pro,66.21,20,41,781.28,1169.96,94,4.6,3.32,Si,PayPal,Si
38,Masculino,Secundaria,Kindle Paperwhite,57.19,16,43,521.57,2216.3,55,4.6,13.09,No,Transferencia,Si
